Username,Top Repository,Github,Repository URL,Ratings
amphp,socket,https://github.com//amphp,https://github.com//amphp/socket,210
amphp,sync,https://github.com//amphp,https://github.com//amphp/sync,152
amphp,redis,https://github.com//amphp,https://github.com//amphp/redis,146
amphp,dns,https://github.com//amphp,https://github.com//amphp/dns,146
amphp,websocket-client,https://github.com//amphp,https://github.com//amphp/websocket-client,131
kelunik,acme,https://github.com//kelunik,https://github.com//kelunik/acme,121
amphp,websocket-server,https://github.com//amphp,https://github.com//amphp/websocket-server,109
amphp,serialization,https://github.com//amphp,https://github.com//amphp/serialization,103
amphp,cache,https://github.com//amphp,https://github.com//amphp/cache,94
flutter,flutter,https://github.com//flutter,https://github.com//flutter/flutter,160000
facebook,react-native,https://github.com//facebook,https://github.com//facebook/react-native,115000
justjavac,free-programming-books-zh_CN,https://github.com//justjavac,https://github.com//justjavac/free-programming-books-zh_CN,108000
Genymobile,scrcpy,https://github.com//Genymobile,https://github.com//Genymobile/scrcpy,98800
Hack-with-Github,Awesome-Hacking,https://github.com//Hack-with-Github,https://github.com//Hack-with-Github/Awesome-Hacking,75100
Solido,awesome-flutter,https://github.com//Solido,https://github.com//Solido/awesome-flutter,50400
google,material-design-icons,https://github.com//google,https://github.com//google/material-design-icons,49500
wasabeef,awesome-android-ui,https://github.com//wasabeef,https://github.com//wasabeef/awesome-android-ui,48600
tldr-pages,tldr,https://github.com//tldr-pages,https://github.com//tldr-pages/tldr,47600
square,okhttp,https://github.com//square,https://github.com//square/okhttp,45100
android,architecture-samples,https://github.com//android,https://github.com//android/architecture-samples,43700
square,retrofit,https://github.com//square,https://github.com//square/retrofit,42500
laurent22,joplin,https://github.com//laurent22,https://github.com//laurent22/joplin,41400
appwrite,appwrite,https://github.com//appwrite,https://github.com//appwrite/appwrite,39600
dcloudio,uni-app,https://github.com//dcloudio,https://github.com//dcloudio/uni-app,39100
fastlane,fastlane,https://github.com//fastlane,https://github.com//fastlane/fastlane,38400
skylot,jadx,https://github.com//skylot,https://github.com//skylot/jadx,38300
PhilJay,MPAndroidChart,https://github.com//PhilJay,https://github.com//PhilJay/MPAndroidChart,37100
shadowsocks,shadowsocks-android,https://github.com//shadowsocks,https://github.com//shadowsocks/shadowsocks-android,34600
airbnb,lottie-android,https://github.com//airbnb,https://github.com//airbnb/lottie-android,34600
justjavac,free-programming-books-zh_CN,https://github.com//justjavac,https://github.com//justjavac/free-programming-books-zh_CN,108000
angular,angular,https://github.com//angular,https://github.com//angular/angular,93700
storybookjs,storybook,https://github.com//storybookjs,https://github.com//storybookjs/storybook,82100
leonardomso,33-js-concepts,https://github.com//leonardomso,https://github.com//leonardomso/33-js-concepts,61300
ionic-team,ionic-framework,https://github.com//ionic-team,https://github.com//ionic-team/ionic-framework,50200
prettier,prettier,https://github.com//prettier,https://github.com//prettier/prettier,47900
Asabeneh,30-Days-Of-JavaScript,https://github.com//Asabeneh,https://github.com//Asabeneh/30-Days-Of-JavaScript,40500
SheetJS,sheetjs,https://github.com//SheetJS,https://github.com//SheetJS/sheetjs,34300
angular,angular-cli,https://github.com//angular,https://github.com//angular/angular-cli,26600
angular,components,https://github.com//angular,https://github.com//angular/components,24000
NativeScript,NativeScript,https://github.com//NativeScript,https://github.com//NativeScript/NativeScript,23500
goldbergyoni,javascript-testing-best-practices,https://github.com//goldbergyoni,https://github.com//goldbergyoni/javascript-testing-best-practices,23400
nrwl,nx,https://github.com//nrwl,https://github.com//nrwl/nx,21400
wailsapp,wails,https://github.com//wailsapp,https://github.com//wailsapp/wails,21200
jhipster,generator-jhipster,https://github.com//jhipster,https://github.com//jhipster/generator-jhipster,21100
sudheerj,javascript-interview-questions,https://github.com//sudheerj,https://github.com//sudheerj/javascript-interview-questions,21000
pubkey,rxdb,https://github.com//pubkey,https://github.com//pubkey/rxdb,20300
teambit,bit,https://github.com//teambit,https://github.com//teambit/bit,17400
sweetalert2,sweetalert2,https://github.com//sweetalert2,https://github.com//sweetalert2/sweetalert2,16700
paperless-ngx,paperless-ngx,https://github.com//paperless-ngx,https://github.com//paperless-ngx/paperless-ngx,15700
bregman-arie,devops-exercises,https://github.com//bregman-arie,https://github.com//bregman-arie/devops-exercises,62200
ansible,ansible,https://github.com//ansible,https://github.com//ansible/ansible,60500
trailofbits,algo,https://github.com//trailofbits,https://github.com//trailofbits/algo,28100
MichaelCade,90DaysOfDevOps,https://github.com//MichaelCade,https://github.com//MichaelCade/90DaysOfDevOps,25300
StreisandEffect,streisand,https://github.com//StreisandEffect,https://github.com//StreisandEffect/streisand,23100
kubernetes-sigs,kubespray,https://github.com//kubernetes-sigs,https://github.com//kubernetes-sigs/kubespray,15100
ansible,awx,https://github.com//ansible,https://github.com//ansible/awx,13200
easzlab,kubeasz,https://github.com//easzlab,https://github.com//easzlab/kubeasz,9900
ansible-semaphore,semaphore,https://github.com//ansible-semaphore,https://github.com//ansible-semaphore/semaphore,8800
geerlingguy,ansible-for-devops,https://github.com//geerlingguy,https://github.com//geerlingguy/ansible-for-devops,7900
khuedoan,homelab,https://github.com//khuedoan,https://github.com//khuedoan/homelab,7600
Tikam02,DevOps-Guide,https://github.com//Tikam02,https://github.com//Tikam02/DevOps-Guide,7500
netbootxyz,netboot.xyz,https://github.com//netbootxyz,https://github.com//netbootxyz/netboot.xyz,7400
geerlingguy,mac-dev-playbook,https://github.com//geerlingguy,https://github.com//geerlingguy/mac-dev-playbook,5700
rundeck,rundeck,https://github.com//rundeck,https://github.com//rundeck/rundeck,5300
KubeOperator,KubeOperator,https://github.com//KubeOperator,https://github.com//KubeOperator/KubeOperator,4900
clong,DetectionLab,https://github.com//clong,https://github.com//clong/DetectionLab,4500
ansible,molecule,https://github.com//ansible,https://github.com//ansible/molecule,3800
dev-sec,ansible-collection-hardening,https://github.com//dev-sec,https://github.com//dev-sec/ansible-collection-hardening,3600
opendevops-cn,opendevops,https://github.com//opendevops-cn,https://github.com//opendevops-cn/opendevops,3600
public-apis,public-apis,https://github.com//public-apis,https://github.com//public-apis/public-apis,283000
neovim,neovim,https://github.com//neovim,https://github.com//neovim/neovim,74400
tiangolo,fastapi,https://github.com//tiangolo,https://github.com//tiangolo/fastapi,68700
strapi,strapi,https://github.com//strapi,https://github.com//strapi/strapi,59000
hoppscotch,hoppscotch,https://github.com//hoppscotch,https://github.com//hoppscotch/hoppscotch,59000
ocornut,imgui,https://github.com//ocornut,https://github.com//ocornut/imgui,54300
slatedocs,slate,https://github.com//slatedocs,https://github.com//slatedocs/slate,35700
Kong,insomnia,https://github.com//Kong,https://github.com//Kong/insomnia,32500
trpc,trpc,https://github.com//trpc,https://github.com//trpc/trpc,31900
httpie,cli,https://github.com//httpie,https://github.com//httpie/cli,31300
hasura,graphql-engine,https://github.com//hasura,https://github.com//hasura/graphql-engine,30700
ccxt,ccxt,https://github.com//ccxt,https://github.com//ccxt/ccxt,30600
Binaryify,NeteaseCloudMusicApi,https://github.com//Binaryify,https://github.com//Binaryify/NeteaseCloudMusicApi,30300
QuivrHQ,quivr,https://github.com//QuivrHQ,https://github.com//QuivrHQ/quivr,28600
encode,django-rest-framework,https://github.com//encode,https://github.com//encode/django-rest-framework,27200
YMFE,yapi,https://github.com//YMFE,https://github.com//YMFE/yapi,26900
littlecodersh,ItChat,https://github.com//littlecodersh,https://github.com//littlecodersh/ItChat,24900
directus,directus,https://github.com//directus,https://github.com//directus/directus,24800
microsoft,api-guidelines,https://github.com//microsoft,https://github.com//microsoft/api-guidelines,22300
PostgREST,postgrest,https://github.com//PostgREST,https://github.com//PostgREST/postgrest,21900
arendst,Tasmota,https://github.com//arendst,https://github.com//arendst/Tasmota,21100
MarlinFirmware,Marlin,https://github.com//MarlinFirmware,https://github.com//MarlinFirmware/Marlin,15700
tinygo-org,tinygo,https://github.com//tinygo-org,https://github.com//tinygo-org/tinygo,14200
arduino,Arduino,https://github.com//arduino,https://github.com//arduino/Arduino,13900
rwaldron,johnny-five,https://github.com//rwaldron,https://github.com//rwaldron/johnny-five,13200
SpacehuhnTech,esp8266_deauther,https://github.com//SpacehuhnTech,https://github.com//SpacehuhnTech/esp8266_deauther,12700
espressif,arduino-esp32,https://github.com//espressif,https://github.com//espressif/arduino-esp32,12200
gurugio,lowlevelprogramming-university,https://github.com//gurugio,https://github.com//gurugio/lowlevelprogramming-university,9400
hybridgroup,gobot,https://github.com//hybridgroup,https://github.com//hybridgroup/gobot,8700
platformio,platformio-core,https://github.com//platformio,https://github.com//platformio/platformio-core,7400
bblanchon,ArduinoJson,https://github.com//bblanchon,https://github.com//bblanchon/ArduinoJson,6500
tzapu,WiFiManager,https://github.com//tzapu,https://github.com//tzapu/WiFiManager,6200
olikraus,u8g2,https://github.com//olikraus,https://github.com//olikraus/u8g2,4600
Arduino-IRremote,Arduino-IRremote,https://github.com//Arduino-IRremote,https://github.com//Arduino-IRremote/Arduino-IRremote,4200
ClemensElflein,OpenMower,https://github.com//ClemensElflein,https://github.com//ClemensElflein/OpenMower,4200
justcallmekoko,ESP32Marauder,https://github.com//justcallmekoko,https://github.com//justcallmekoko/ESP32Marauder,4200
arduino,arduino-cli,https://github.com//arduino,https://github.com//arduino/arduino-cli,4100
hybridgroup,cylon,https://github.com//hybridgroup,https://github.com//hybridgroup/cylon,4000
Serial-Studio,Serial-Studio,https://github.com//Serial-Studio,https://github.com//Serial-Studio/Serial-Studio,3900
blynkkk,blynk-library,https://github.com//blynkkk,https://github.com//blynkkk/blynk-library,3800
bitwarden,server,https://github.com//bitwarden,https://github.com//bitwarden/server,14000
dotnet,AspNetCore.Docs,https://github.com//dotnet,https://github.com//dotnet/AspNetCore.Docs,12200
abpframework,abp,https://github.com//abpframework,https://github.com//abpframework/abp,12000
aspnetboilerplate,aspnetboilerplate,https://github.com//aspnetboilerplate,https://github.com//aspnetboilerplate/aspnetboilerplate,11500
nopSolutions,nopCommerce,https://github.com//nopSolutions,https://github.com//nopSolutions/nopCommerce,8800
ElectronNET,Electron.NET,https://github.com//ElectronNET,https://github.com//ElectronNET/Electron.NET,7000
